Timestamp	Email Address	Name	Workshop Batch 1 [First Choice]	Workshop Batch 1 [Second Choice]	Workshop Batch 1 [Third Choice]	Workshop Batch 1 [Fourth Choice]	Workshop Batch 1 [Fifth Choice]	Workshop Batch 1 [Sixth Choice]	Workshop Batch 2 [First Choice]	Workshop Batch 2 [Second Choice]	Workshop Batch 2 [Third Choice]	Workshop Batch 2 [Fourth Choice]	Workshop Batch 2 [Fifth Choice]	Workshop Batch 2 [Sixth Choice]	Workshop Batch 3 [First Choice]	Workshop Batch 3 [Second Choice]	Workshop Batch 3 [Third Choice]	Workshop Batch 3 [Fourth Choice]	Workshop Batch 3 [Fifth Choice]	Workshop Batch 3 [Sixth Choice]
07/23/2024 04:31:31	emma.smith@college.harvard.edu	Emma Smith	Dana's Dancing	Zach's Wax	Joe's Clothes	Avi's Art	Texaco's Tunes	Elyse's Energy	Joy's Voice	AJ's Wordplay	Em's Kin	Max's Music	Adam's Architecture	Lollie's Trolly	Crystal's Whistles	Ria's Rave	Keren's Cartwheels	Gabby's Great's	Bimba's Limbo	Priya's Party
07/23/2024 04:21:31	mason.miller@college.harvard.edu	Mason Miller	Texaco's Tunes	Joe's Clothes	Elyse's Energy	Zach's Wax	Dana's Dancing	Avi's Art	Em's Kin	Max's Music	Adam's Architecture	AJ's Wordplay	Joy's Voice	Lollie's Trolly	Bimba's Limbo	Keren's Cartwheels	Priya's Party	Ria's Rave	Gabby's Great's	Crystal's Whistles
07/23/2024 04:47:31	ethan.anderson@college.harvard.edu	Ethan Anderson	Elyse's Energy	Dana's Dancing	Joe's Clothes	Zach's Wax	Avi's Art	Texaco's Tunes	Joy's Voice	Em's Kin	AJ's Wordplay	Max's Music	Adam's Architecture	Lollie's Trolly	Gabby's Great's	Crystal's Whistles	Ria's Rave	Keren's Cartwheels	Bimba's Limbo	Priya's Party
07/23/2024 04:14:31	mason.moore@college.harvard.edu	Mason Moore	Texaco's Tunes	Joe's Clothes	Dana's Dancing	Avi's Art	Elyse's Energy	Zach's Wax	Em's Kin	AJ's Wordplay	Lollie's Trolly	Adam's Architecture	Joy's Voice	Max's Music	Priya's Party	Crystal's Whistles	Ria's Rave	Gabby's Great's	Bimba's Limbo	Keren's Cartwheels
07/23/2024 04:00:31	william.jackson@college.harvard.edu	William Jackson	Dana's Dancing	Avi's Art	Texaco's Tunes	Joe's Clothes	Zach's Wax	Elyse's Energy	Lollie's Trolly	Adam's Architecture	Joy's Voice	Max's Music	AJ's Wordplay	Em's Kin	Crystal's Whistles	Priya's Party	Gabby's Great's	Bimba's Limbo	Keren's Cartwheels	Ria's Rave
07/23/2024 04:45:31	olivia.jackson@college.harvard.edu	Olivia Jackson	Zach's Wax	Dana's Dancing	Texaco's Tunes	Joe's Clothes	Avi's Art	Elyse's Energy	Em's Kin	Max's Music	Lollie's Trolly	Adam's Architecture	Joy's Voice	AJ's Wordplay	Crystal's Whistles	Priya's Party	Keren's Cartwheels	Gabby's Great's	Ria's Rave	Bimba's Limbo
07/23/2024 04:58:31	ethan.moore@college.harvard.edu	Ethan Moore	Joe's Clothes	Avi's Art	Dana's Dancing	Texaco's Tunes	Zach's Wax	Elyse's Energy	Max's Music	Adam's Architecture	Em's Kin	AJ's Wordplay	Joy's Voice	Lollie's Trolly	Ria's Rave	Gabby's Great's	Keren's Cartwheels	Crystal's Whistles	Bimba's Limbo	Priya's Party
07/23/2024 04:18:31	isabella.thomas@college.harvard.edu	Isabella Thomas	Texaco's Tunes	Zach's Wax	Elyse's Energy	Avi's Art	Dana's Dancing	Joe's Clothes	Em's Kin	AJ's Wordplay	Adam's Architecture	Max's Music	Lollie's Trolly	Joy's Voice	Bimba's Limbo	Crystal's Whistles	Keren's Cartwheels	Priya's Party	Ria's Rave	Gabby's Great's
07/23/2024 04:43:31	mason.brown@college.harvard.edu	Mason Brown	Dana's Dancing	Texaco's Tunes	Zach's Wax	Elyse's Energy	Joe's Clothes	Avi's Art	Em's Kin	Adam's Architecture	Joy's Voice	Lollie's Trolly	AJ's Wordplay	Max's Music	Bimba's Limbo	Gabby's Great's	Keren's Cartwheels	Priya's Party	Ria's Rave	Crystal's Whistles
07/23/2024 04:46:31	william.jackson@college.harvard.edu	William Jackson	Avi's Art	Joe's Clothes	Dana's Dancing	Zach's Wax	Elyse's Energy	Texaco's Tunes	Joy's Voice	AJ's Wordplay	Max's Music	Adam's Architecture	Em's Kin	Lollie's Trolly	Keren's Cartwheels	Priya's Party	Crystal's Whistles	Gabby's Great's	Bimba's Limbo	Ria's Rave
07/23/2024 04:51:31	ava.thomas@college.harvard.edu	Ava Thomas	Zach's Wax	Joe's Clothes	Avi's Art	Texaco's Tunes	Dana's Dancing	Elyse's Energy	Lollie's Trolly	AJ's Wordplay	Adam's Architecture	Joy's Voice	Em's Kin	Max's Music	Gabby's Great's	Priya's Party	Bimba's Limbo	Ria's Rave	Crystal's Whistles	Keren's Cartwheels
07/23/2024 04:47:31	noah.wilson@college.harvard.edu	Noah Wilson	Avi's Art	Dana's Dancing	Texaco's Tunes	Joe's Clothes	Zach's Wax	Elyse's Energy	Adam's Architecture	Lollie's Trolly	Max's Music	Em's Kin	AJ's Wordplay	Joy's Voice	Crystal's Whistles	Gabby's Great's	Keren's Cartwheels	Bimba's Limbo	Ria's Rave	Priya's Party
07/23/2024 04:29:31	olivia.jackson@college.harvard.edu	Olivia Jackson	Joe's Clothes	Zach's Wax	Elyse's Energy	Avi's Art	Texaco's Tunes	Dana's Dancing	Max's Music	Joy's Voice	Em's Kin	Lollie's Trolly	AJ's Wordplay	Adam's Architecture	Bimba's Limbo	Priya's Party	Keren's Cartwheels	Crystal's Whistles	Ria's Rave	Gabby's Great's
07/23/2024 04:31:31	emma.thomas@college.harvard.edu	Emma Thomas	Texaco's Tunes	Zach's Wax	Elyse's Energy	Joe's Clothes	Avi's Art	Dana's Dancing	AJ's Wordplay	Lollie's Trolly	Joy's Voice	Adam's Architecture	Em's Kin	Max's Music	Bimba's Limbo	Ria's Rave	Crystal's Whistles	Priya's Party	Keren's Cartwheels	Gabby's Great's
07/23/2024 04:33:31	noah.brown@college.harvard.edu	Noah Brown	Elyse's Energy	Dana's Dancing	Zach's Wax	Joe's Clothes	Avi's Art	Texaco's Tunes	Joy's Voice	Max's Music	Em's Kin	Adam's Architecture	Lollie's Trolly	AJ's Wordplay	Priya's Party	Keren's Cartwheels	Gabby's Great's	Bimba's Limbo	Ria's Rave	Crystal's Whistles
07/23/2024 03:59:31	mason.miller@college.harvard.edu	Mason Miller	Elyse's Energy	Texaco's Tunes	Avi's Art	Zach's Wax	Joe's Clothes	Dana's Dancing	Em's Kin	AJ's Wordplay	Joy's Voice	Adam's Architecture	Lollie's Trolly	Max's Music	Priya's Party	Ria's Rave	Gabby's Great's	Crystal's Whistles	Bimba's Limbo	Keren's Cartwheels
07/23/2024 04:11:31	liam.taylor@college.harvard.edu	Liam Taylor	Dana's Dancing	Zach's Wax	Elyse's Energy	Texaco's Tunes	Joe's Clothes	Avi's Art	AJ's Wordplay	Max's Music	Adam's Architecture	Joy's Voice	Em's Kin	Lollie's Trolly	Gabby's Great's	Bimba's Limbo	Priya's Party	Keren's Cartwheels	Crystal's Whistles	Ria's Rave
07/23/2024 04:21:31	mason.anderson@college.harvard.edu	Mason Anderson	Texaco's Tunes	Zach's Wax	Dana's Dancing	Elyse's Energy	Joe's Clothes	Avi's Art	Adam's Architecture	Max's Music	AJ's Wordplay	Em's Kin	Lollie's Trolly	Joy's Voice	Keren's Cartwheels	Gabby's Great's	Priya's Party	Ria's Rave	Crystal's Whistles	Bimba's Limbo
07/23/2024 04:09:31	ethan.smith@college.harvard.edu	Ethan Smith	Avi's Art	Texaco's Tunes	Zach's Wax	Joe's Clothes	Dana's Dancing	Elyse's Energy	Max's Music	AJ's Wordplay	Em's Kin	Joy's Voice	Lollie's Trolly	Adam's Architecture	Crystal's Whistles	Ria's Rave	Bimba's Limbo	Keren's Cartwheels	Priya's Party	Gabby's Great's
07/23/2024 04:55:31	isabella.moore@college.harvard.edu	Isabella Moore	Joe's Clothes	Avi's Art	Elyse's Energy	Dana's Dancing	Texaco's Tunes	Zach's Wax	Joy's Voice	Em's Kin	Max's Music	Lollie's Trolly	Adam's Architecture	AJ's Wordplay	Crystal's Whistles	Bimba's Limbo	Keren's Cartwheels	Priya's Party	Gabby's Great's	Ria's Rave
07/23/2024 04:59:31	noah.taylor@college.harvard.edu	Noah Taylor	Dana's Dancing	Avi's Art	Elyse's Energy	Joe's Clothes	Zach's Wax	Texaco's Tunes	Adam's Architecture	Joy's Voice	Em's Kin	Lollie's Trolly	AJ's Wordplay	Max's Music	Gabby's Great's	Crystal's Whistles	Bimba's Limbo	Keren's Cartwheels	Ria's Rave	Priya's Party
07/23/2024 04:14:31	william.taylor@college.harvard.edu	William Taylor	Dana's Dancing	Joe's Clothes	Avi's Art	Zach's Wax	Elyse's Energy	Texaco's Tunes	Joy's Voice	AJ's Wordplay	Adam's Architecture	Max's Music	Em's Kin	Lollie's Trolly	Bimba's Limbo	Priya's Party	Keren's Cartwheels	Gabby's Great's	Ria's Rave	Crystal's Whistles
07/23/2024 04:52:31	isabella.jackson@college.harvard.edu	Isabella Jackson	Zach's Wax	Elyse's Energy	Dana's Dancing	Joe's Clothes	Texaco's Tunes	Avi's Art	AJ's Wordplay	Adam's Architecture	Em's Kin	Lollie's Trolly	Max's Music	Joy's Voice	Crystal's Whistles	Ria's Rave	Priya's Party	Keren's Cartwheels	Gabby's Great's	Bimba's Limbo
07/23/2024 04:24:31	noah.moore@college.harvard.edu	Noah Moore	Zach's Wax	Dana's Dancing	Avi's Art	Joe's Clothes	Elyse's Energy	Texaco's Tunes	Adam's Architecture	Lollie's Trolly	Em's Kin	Max's Music	Joy's Voice	AJ's Wordplay	Ria's Rave	Gabby's Great's	Bimba's Limbo	Priya's Party	Keren's Cartwheels	Crystal's Whistles
07/23/2024 04:51:31	liam.taylor@college.harvard.edu	Liam Taylor	Dana's Dancing	Avi's Art	Joe's Clothes	Texaco's Tunes	Elyse's Energy	Zach's Wax	Adam's Architecture	AJ's Wordplay	Lollie's Trolly	Joy's Voice	Max's Music	Em's Kin	Keren's Cartwheels	Crystal's Whistles	Gabby's Great's	Ria's Rave	Bimba's Limbo	Priya's Party
07/23/2024 04:21:31	william.wilson@college.harvard.edu	William Wilson	Elyse's Energy	Avi's Art	Zach's Wax	Joe's Clothes	Texaco's Tunes	Dana's Dancing	Em's Kin	AJ's Wordplay	Lollie's Trolly	Adam's Architecture	Max's Music	Joy's Voice	Priya's Party	Gabby's Great's	Keren's Cartwheels	Bimba's Limbo	Crystal's Whistles	Ria's Rave
07/23/2024 04:25:31	mason.anderson@college.harvard.edu	Mason Anderson	Avi's Art	Elyse's Energy	Dana's Dancing	Texaco's Tunes	Zach's Wax	Joe's Clothes	AJ's Wordplay	Em's Kin	Adam's Architecture	Lollie's Trolly	Joy's Voice	Max's Music	Priya's Party	Keren's Cartwheels	Bimba's Limbo	Ria's Rave	Crystal's Whistles	Gabby's Great's
07/23/2024 04:51:31	sophia.thomas@college.harvard.edu	Sophia Thomas	Zach's Wax	Avi's Art	Texaco's Tunes	Dana's Dancing	Joe's Clothes	Elyse's Energy	Max's Music	Joy's Voice	Em's Kin	AJ's Wordplay	Lollie's Trolly	Adam's Architecture	Bimba's Limbo	Crystal's Whistles	Gabby's Great's	Keren's Cartwheels	Priya's Party	Ria's Rave
07/23/2024 04:33:31	liam.jackson@college.harvard.edu	Liam Jackson	Avi's Art	Joe's Clothes	Dana's Dancing	Zach's Wax	Texaco's Tunes	Elyse's Energy	Adam's Architecture	AJ's Wordplay	Em's Kin	Max's Music	Joy's Voice	Lollie's Trolly	Bimba's Limbo	Ria's Rave	Gabby's Great's	Keren's Cartwheels	Crystal's Whistles	Priya's Party
07/23/2024 04:11:31	ethan.miller@college.harvard.edu	Ethan Miller	Dana's Dancing	Zach's Wax	Elyse's Energy	Joe's Clothes	Avi's Art	Texaco's Tunes	Joy's Voice	AJ's Wordplay	Max's Music	Em's Kin	Lollie's Trolly	Adam's Architecture	Keren's Cartwheels	Ria's Rave	Crystal's Whistles	Bimba's Limbo	Priya's Party	Gabby's Great's
07/23/2024 04:48:31	ethan.brown@college.harvard.edu	Ethan Brown	Texaco's Tunes	Joe's Clothes	Zach's Wax	Dana's Dancing	Elyse's Energy	Avi's Art	Max's Music	Em's Kin	AJ's Wordplay	Adam's Architecture	Joy's Voice	Lollie's Trolly	Ria's Rave	Gabby's Great's	Keren's Cartwheels	Bimba's Limbo	Priya's Party	Crystal's Whistles
07/23/2024 04:05:31	sophia.wilson@college.harvard.edu	Sophia Wilson	Elyse's Energy	Joe's Clothes	Texaco's Tunes	Avi's Art	Dana's Dancing	Zach's Wax	Joy's Voice	Max's Music	Em's Kin	Lollie's Trolly	AJ's Wordplay	Adam's Architecture	Bimba's Limbo	Ria's Rave	Crystal's Whistles	Keren's Cartwheels	Gabby's Great's	Priya's Party
